actualStartTime,description,tournamentLevel,matchNumber,scoreRedFinal,scoreRedFoul,scoreRedAuto,scoreBlueFinal,scoreBlueFoul,scoreBlueAuto,postResultTime,teams
2017-03-31T14:29:53.6666667,Qualification 35,Qualification,35,240,0,20,317,5,82,2017-03-31T14:32:59.6333333,"[{'teamNumber': 2151, 'station': 'Red1', 'dq': False}, {'teamNumber': 1756, 'station': 'Red2', 'dq': False}, {'teamNumber': 5847, 'station': 'Red3', 'dq': False}, {'teamNumber': 1592, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1288, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1511, 'station': 'Blue3', 'dq': False}]"
2017-03-31T14:36:31.9266667,Qualification 36,Qualification,36,323,0,59,165,0,75,2017-03-31T14:39:17.2933333,"[{'teamNumber': 5125, 'station': 'Red1', 'dq': False}, {'teamNumber': 1986, 'station': 'Red2', 'dq': False}, {'teamNumber': 4213, 'station': 'Red3', 'dq': False}, {'teamNumber': 2022, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4292, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2136, 'station': 'Blue3', 'dq': False}]"
2017-03-31T14:44:13.6433333,Qualification 37,Qualification,37,208,0,75,258,0,75,2017-03-31T14:46:54.8366667,"[{'teamNumber': 4655, 'station': 'Red1', 'dq': False}, {'teamNumber': 4787, 'station': 'Red2', 'dq': False}, {'teamNumber': 3488, 'station': 'Red3', 'dq': False}, {'teamNumber': 6651, 'station': 'Blue1', 'dq': False}, {'teamNumber': 2039, 'station': 'Blue2', 'dq': False}, {'teamNumber': 111, 'station': 'Blue3', 'dq': False}]"
2017-03-31T14:51:39.9566667,Qualification 38,Qualification,38,251,0,30,143,0,13,2017-03-31T14:54:50.15,"[{'teamNumber': 2451, 'station': 'Red1', 'dq': False}, {'teamNumber': 2781, 'station': 'Red2', 'dq': False}, {'teamNumber': 5811, 'station': 'Red3', 'dq': False}, {'teamNumber': 2704, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1781, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2338, 'station': 'Blue3', 'dq': False}]"
2017-03-31T14:58:37.3566667,Qualification 39,Qualification,39,195,0,15,283,25,78,2017-03-31T15:01:23.76,"[{'teamNumber': 5350, 'station': 'Red1', 'dq': False}, {'teamNumber': 1288, 'station': 'Red2', 'dq': False}, {'teamNumber': 4241, 'station': 'Red3', 'dq': False}, {'teamNumber': 3620, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1723, 'station': 'Blue2', 'dq': False}, {'teamNumber': 5934, 'station': 'Blue3', 'dq': False}]"
2017-03-31T15:06:40.81,Qualification 40,Qualification,40,174,25,10,285,100,15,2017-03-31T15:09:25.1466667,"[{'teamNumber': 4096, 'station': 'Red1', 'dq': False}, {'teamNumber': 2725, 'station': 'Red2', 'dq': False}, {'teamNumber': 2709, 'station': 'Red3', 'dq': False}, {'teamNumber': 4284, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1739, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1939, 'station': 'Blue3', 'dq': False}]"
2017-03-31T15:14:57.6766667,Qualification 41,Qualification,41,195,0,15,322,25,77,2017-03-31T15:18:38.6966667,"[{'teamNumber': 101, 'station': 'Red1', 'dq': False}, {'teamNumber': 2526, 'station': 'Red2', 'dq': False}, {'teamNumber': 2151, 'station': 'Red3', 'dq': False}, {'teamNumber': 5822, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1405, 'station': 'Blue2', 'dq': False}, {'teamNumber': 383, 'station': 'Blue3', 'dq': False}]"
2017-03-31T15:24:31.0033333,Qualification 42,Qualification,42,266,5,81,230,25,75,2017-03-31T15:27:34.9333333,"[{'teamNumber': 5125, 'station': 'Red1', 'dq': False}, {'teamNumber': 3061, 'station': 'Red2', 'dq': False}, {'teamNumber': 144, 'station': 'Red3', 'dq': False}, {'teamNumber': 1736, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4524, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3110, 'station': 'Blue3', 'dq': False}]"
2017-03-31T15:31:44.48,Qualification 43,Qualification,43,308,0,78,195,0,15,2017-03-31T15:34:23.9133333,"[{'teamNumber': 1592, 'station': 'Red1', 'dq': False}, {'teamNumber': 3138, 'station': 'Red2', 'dq': False}, {'teamNumber': 5847, 'station': 'Red3', 'dq': False}, {'teamNumber': 1625, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4645, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3067, 'station': 'Blue3', 'dq': False}]"
2017-03-31T15:40:23.0433333,Qualification 44,Qualification,44,325,35,20,230,0,10,2017-03-31T15:43:06.16,"[{'teamNumber': 16, 'station': 'Red1', 'dq': False}, {'teamNumber': 3734, 'station': 'Red2', 'dq': False}, {'teamNumber': 1756, 'station': 'Red3', 'dq': False}, {'teamNumber': 3352, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4979, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2022, 'station': 'Blue3', 'dq': False}]"
2017-03-31T15:47:49.7833333,Qualification 45,Qualification,45,309,0,75,235,0,15,2017-03-31T15:50:30.63,"[{'teamNumber': 1511, 'station': 'Red1', 'dq': False}, {'teamNumber': 4655, 'station': 'Red2', 'dq': False}, {'teamNumber': 383, 'station': 'Red3', 'dq': False}, {'teamNumber': 4096, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4241, 'station': 'Blue2', 'dq': False}, {'teamNumber': 4787, 'station': 'Blue3', 'dq': False}]"
2017-03-31T15:55:31.4066667,Qualification 46,Qualification,46,165,0,75,185,0,15,2017-03-31T15:58:13.7666667,"[{'teamNumber': 4292, 'station': 'Red1', 'dq': False}, {'teamNumber': 2151, 'station': 'Red2', 'dq': False}, {'teamNumber': 2039, 'station': 'Red3', 'dq': False}, {'teamNumber': 3061, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5350, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2781, 'station': 'Blue3', 'dq': False}]"
2017-03-31T16:03:38.0933333,Qualification 47,Qualification,47,361,0,89,250,0,70,2017-03-31T16:06:33.15,"[{'teamNumber': 2451, 'station': 'Red1', 'dq': False}, {'teamNumber': 144, 'station': 'Red2', 'dq': False}, {'teamNumber': 1592, 'station': 'Red3', 'dq': False}, {'teamNumber': 2136, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4213, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3138, 'station': 'Blue3', 'dq': False}]"
2017-03-31T16:12:33.22,Qualification 48,Qualification,48,255,25,10,255,0,75,2017-03-31T16:15:18.6633333,"[{'teamNumber': 101, 'station': 'Red1', 'dq': False}, {'teamNumber': 4284, 'station': 'Red2', 'dq': False}, {'teamNumber': 4645, 'station': 'Red3', 'dq': False}, {'teamNumber': 4524, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1625, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1756, 'station': 'Blue3', 'dq': False}]"
2017-03-31T16:19:25.3466667,Qualification 49,Qualification,49,348,0,59,238,0,18,2017-03-31T16:22:06.0666667,"[{'teamNumber': 1986, 'station': 'Red1', 'dq': False}, {'teamNumber': 2709, 'station': 'Red2', 'dq': False}, {'teamNumber': 1288, 'station': 'Red3', 'dq': False}, {'teamNumber': 3734, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1781, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3488, 'station': 'Blue3', 'dq': False}]"
2017-03-31T16:26:43.8033333,Qualification 50,Qualification,50,362,5,86,255,0,75,2017-03-31T16:29:23.7233333,"[{'teamNumber': 16, 'station': 'Red1', 'dq': False}, {'teamNumber': 1736, 'station': 'Red2', 'dq': False}, {'teamNumber': 2338, 'station': 'Red3', 'dq': False}, {'teamNumber': 2526, 'station': 'Blue1', 'dq': False}, {'teamNumber': 6651, 'station': 'Blue2', 'dq': False}, {'teamNumber': 5847, 'station': 'Blue3', 'dq': False}]"
2017-03-31T16:38:00.7333333,Qualification 51,Qualification,51,205,0,75,190,0,10,2017-03-31T16:40:42.1,"[{'teamNumber': 2022, 'station': 'Red1', 'dq': False}, {'teamNumber': 2704, 'station': 'Red2', 'dq': False}, {'teamNumber': 3110, 'station': 'Red3', 'dq': False}, {'teamNumber': 3067, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1723, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2725, 'station': 'Blue3', 'dq': False}]"
2017-03-31T16:45:38.3766667,Qualification 52,Qualification,52,264,0,84,306,0,75,2017-03-31T16:48:35.1533333,"[{'teamNumber': 3352, 'station': 'Red1', 'dq': False}, {'teamNumber': 5822, 'station': 'Red2', 'dq': False}, {'teamNumber': 3620, 'station': 'Red3', 'dq': False}, {'teamNumber': 1511, 'station': 'Blue1', 'dq': False}, {'teamNumber': 111, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1939, 'station': 'Blue3', 'dq': False}]"
2017-03-31T16:53:19.1166667,Qualification 53,Qualification,53,205,0,75,165,0,75,2017-03-31T16:55:58.5233333,"[{'teamNumber': 1739, 'station': 'Red1', 'dq': False}, {'teamNumber': 1405, 'station': 'Red2', 'dq': False}, {'teamNumber': 4979, 'station': 'Red3', 'dq': False}, {'teamNumber': 5125, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5934, 'station': 'Blue2', 'dq': False}, {'teamNumber': 5811, 'station': 'Blue3', 'dq': False}]"
2017-03-31T17:02:17.53,Qualification 54,Qualification,54,281,25,76,301,0,48,2017-03-31T17:05:22.4066667,"[{'teamNumber': 1736, 'station': 'Red1', 'dq': False}, {'teamNumber': 383, 'station': 'Red2', 'dq': False}, {'teamNumber': 4096, 'station': 'Red3', 'dq': False}, {'teamNumber': 1756, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1986, 'station': 'Blue2', 'dq': False}, {'teamNumber': 5350, 'station': 'Blue3', 'dq': False}]"
2017-03-31T17:10:13.5933333,Qualification 55,Qualification,55,230,25,75,190,0,10,2017-03-31T17:13:00.72,"[{'teamNumber': 2704, 'station': 'Red1', 'dq': False}, {'teamNumber': 6651, 'station': 'Red2', 'dq': False}, {'teamNumber': 4655, 'station': 'Red3', 'dq': False}, {'teamNumber': 4213, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4284, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2151, 'station': 'Blue3', 'dq': False}]"
